id,name
hsa00785,Lipoic_acid_metabolism
hsa00790,Folate_biosynthesis
hsa00830,Retinol_metabolism
hsa00860,Porphyrin_and_chlorophyll_metabolism
hsa00900,Terpenoid_backbone_biosynthesis
hsa00910,Nitrogen_metabolism
hsa00920,Sulfur_metabolism
hsa00970,Aminoacyl-tRNA_biosynthesis
hsa00980,Metabolism_of_xenobiotics_by_cytochrome_P450
hsa00982,Drug_metabolism
hsa00983,Drug_metabolism
hsa01040,Biosynthesis_of_unsaturated_fatty_acids
hsa01100,Metabolic_pathways
hsa01200,Carbon_metabolism
hsa01210,2-Oxocarboxylic_acid_metabolism
hsa01212,Fatty_acid_metabolism
hsa01230,Biosynthesis_of_amino_acids
hsa01521,EGFR_tyrosine_kinase_inhibitor_resistance
hsa01522,Endocrine_resistance
hsa01523,Antifolate_resistance
hsa01524,Platinum_drug_resistance
hsa02010,ABC_transporters
hsa03008,Ribosome_biogenesis_in_eukaryotes
hsa03010,Ribosome
hsa03013,RNA_transport
hsa03015,mRNA_surveillance_pathway
hsa03018,RNA_degradation
hsa03020,RNA_polymerase
hsa03022,Basal_transcription_factors
hsa03030,DNA_replication
hsa03040,Spliceosome
hsa03050,Proteasome
hsa03060,Protein_export
hsa03320,PPAR_signaling_pathway
hsa03410,Base_excision_repair
hsa03420,Nucleotide_excision_repair
hsa03430,Mismatch_repair
hsa03440,Homologous_recombination
hsa03450,Non-homologous_end-joining
hsa03460,Fanconi_anemia_pathway
hsa04010,MAPK_signaling_pathway
hsa04012,ErbB_signaling_pathway
hsa04014,Ras_signaling_pathway
hsa04015,Rap1_signaling_pathway
hsa04020,Calcium_signaling_pathway
hsa04022,cGMP-PKG_signaling_pathway
hsa04024,cAMP_signaling_pathway
hsa04060,Cytokine-cytokine_receptor_interaction
hsa04061,Viral_protein_interaction_with_cytokine_and_cytokine_receptor
hsa04062,Chemokine_signaling_pathway
hsa04064,NF-kappa_B_signaling_pathway
hsa04066,HIF-1_signaling_pathway
hsa04068,FoxO_signaling_pathway
hsa04070,Phosphatidylinositol_signaling_system
hsa04071,Sphingolipid_signaling_pathway
hsa04072,Phospholipase_D_signaling_pathway
hsa04080,Neuroactive_ligand-receptor_interaction
hsa04110,Cell_cycle
hsa04114,Oocyte_meiosis
hsa04115,p53_signaling_pathway
hsa04120,Ubiquitin_mediated_proteolysis
hsa04122,Sulfur_relay_system
hsa04130,SNARE_interactions_in_vesicular_transport
hsa04136,Autophagy
hsa04137,Mitophagy
hsa04140,Autophagy
hsa04141,Protein_processing_in_endoplasmic_reticulum
hsa04142,Lysosome
hsa04144,Endocytosis
hsa04145,Phagosome
hsa04146,Peroxisome
hsa04150,mTOR_signaling_pathway
hsa04151,PI3K-Akt_signaling_pathway
hsa04152,AMPK_signaling_pathway
hsa04210,Apoptosis
hsa04211,Longevity_regulating_pathway
hsa04213,Longevity_regulating_pathway
hsa04215,Apoptosis
hsa04216,Ferroptosis
hsa04217,Necroptosis
hsa04218,Cellular_senescence
hsa04260,Cardiac_muscle_contraction
hsa04261,Adrenergic_signaling_in_cardiomyocytes
hsa04270,Vascular_smooth_muscle_contraction
hsa04310,Wnt_signaling_pathway
hsa04330,Notch_signaling_pathway
hsa04340,Hedgehog_signaling_pathway
hsa04350,TGF-beta_signaling_pathway
hsa04360,Axon_guidance
hsa04370,VEGF_signaling_pathway
hsa04371,Apelin_signaling_pathway
hsa04380,Osteoclast_differentiation
hsa04390,Hippo_signaling_pathway
hsa04392,Hippo_signaling_pathway
hsa04510,Focal_adhesion
hsa04512,ECM-receptor_interaction
hsa04514,Cell_adhesion_molecules
hsa04520,Adherens_junction
hsa04530,Tight_junction
hsa04540,Gap_junction
hsa04550,Signaling_pathways_regulating_pluripotency_of_stem_cells
hsa04610,Complement_and_coagulation_cascades
hsa04611,Platelet_activation
hsa04612,Antigen_processing_and_presentation
hsa04614,Renin-angiotensin_system
hsa04620,Toll-like_receptor_signaling_pathway
hsa04621,NOD-like_receptor_signaling_pathway
hsa04622,RIG-I-like_receptor_signaling_pathway
hsa04623,Cytosolic_DNA-sensing_pathway
hsa04625,C-type_lectin_receptor_signaling_pathway
hsa04630,JAK-STAT_signaling_pathway
hsa04640,Hematopoietic_cell_lineage
hsa04650,Natural_killer_cell_mediated_cytotoxicity
hsa04657,IL-17_signaling_pathway
hsa04658,Th1_and_Th2_cell_differentiation
hsa04659,Th17_cell_differentiation
hsa04660,T_cell_receptor_signaling_pathway
hsa04662,B_cell_receptor_signaling_pathway
hsa04664,Fc_epsilon_RI_signaling_pathway
hsa04666,Fc_gamma_R-mediated_phagocytosis
hsa04668,TNF_signaling_pathway
hsa04670,Leukocyte_transendothelial_migration
hsa04672,Intestinal_immune_network_for_IgA_production
hsa04710,Circadian_rhythm
hsa04713,Circadian_entrainment
hsa04714,Thermogenesis
hsa04720,Long-term_potentiation
hsa04721,Synaptic_vesicle_cycle
hsa04722,Neurotrophin_signaling_pathway
hsa04723,Retrograde_endocannabinoid_signaling
hsa04724,Glutamatergic_synapse
hsa04725,Cholinergic_synapse
hsa04726,Serotonergic_synapse
hsa04727,GABAergic_synapse
hsa04728,Dopaminergic_synapse
hsa04730,Long-term_depression
hsa04740,Olfactory_transduction
hsa04742,Taste_transduction
hsa04744,Phototransduction
hsa04750,Inflammatory_mediator_regulation_of_TRP_channels
hsa04810,Regulation_of_actin_cytoskeleton
hsa04910,Insulin_signaling_pathway
hsa04911,Insulin_secretion
hsa04912,GnRH_signaling_pathway
hsa04913,Ovarian_steroidogenesis
hsa04914,Progesterone-mediated_oocyte_maturation
hsa04915,Estrogen_signaling_pathway
hsa04916,Melanogenesis
hsa04917,Prolactin_signaling_pathway
hsa04918,Thyroid_hormone_synthesis
hsa04919,Thyroid_hormone_signaling_pathway
hsa04920,Adipocytokine_signaling_pathway
hsa04921,Oxytocin_signaling_pathway
hsa04922,Glucagon_signaling_pathway
hsa04923,Regulation_of_lipolysis_in_adipocytes
hsa04924,Renin_secretion
hsa04925,Aldosterone_synthesis_and_secretion
hsa04926,Relaxin_signaling_pathway
hsa04927,Cortisol_synthesis_and_secretion
hsa04928,"Parathyroid_hormone_synthesis,_secretion_and_action"
hsa04929,GnRH_secretion
hsa04930,Type_II_diabetes_mellitus
hsa04931,Insulin_resistance
hsa04932,Non-alcoholic_fatty_liver_disease
hsa04933,AGE-RAGE_signaling_pathway_in_diabetic_complications
hsa04934,Cushing_syndrome
hsa04935,"Growth_hormone_synthesis,_secretion_and_action"
hsa04940,Type_I_diabetes_mellitus
hsa04950,Maturity_onset_diabetes_of_the_young
hsa04960,Aldosterone-regulated_sodium_reabsorption
hsa04961,Endocrine_and_other_factor-regulated_calcium_reabsorption
hsa04962,Vasopressin-regulated_water_reabsorption
hsa04964,Proximal_tubule_bicarbonate_reclamation
hsa04966,Collecting_duct_acid_secretion
hsa04970,Salivary_secretion
hsa04971,Gastric_acid_secretion
hsa04972,Pancreatic_secretion
hsa04973,Carbohydrate_digestion_and_absorption
hsa04974,Protein_digestion_and_absorption
hsa04975,Fat_digestion_and_absorption
hsa04976,Bile_secretion
hsa04977,Vitamin_digestion_and_absorption
hsa04978,Mineral_absorption
hsa04979,Cholesterol_metabolism
hsa05010,Alzheimer_disease
hsa05012,Parkinson_disease
hsa05014,Amyotrophic_lateral_sclerosis
hsa05016,Huntington_disease
hsa05017,Spinocerebellar_ataxia
hsa05020,Prion_diseases
hsa05030,Cocaine_addiction
hsa05031,Amphetamine_addiction
hsa05032,Morphine_addiction
hsa05033,Nicotine_addiction
hsa05034,Alcoholism
hsa05100,Bacterial_invasion_of_epithelial_cells
hsa05110,Vibrio_cholerae_infection
hsa05120,Epithelial_cell_signaling_in_Helicobacter_pylori_infection
hsa05130,Pathogenic_Escherichia_coli_infection
hsa05131,Shigellosis
hsa05132,Salmonella_infection
hsa05133,Pertussis
hsa05134,Legionellosis
hsa05135,Yersinia_infection
hsa05140,Leishmaniasis
hsa05142,Chagas_disease
hsa05143,African_trypanosomiasis
hsa05144,Malaria
hsa05145,Toxoplasmosis
hsa05146,Amoebiasis
hsa05150,Staphylococcus_aureus_infection
hsa05152,Tuberculosis
hsa05160,Hepatitis_C
hsa05161,Hepatitis_B
hsa05162,Measles
hsa05163,Human_cytomegalovirus_infection
hsa05164,Influenza_A
hsa05165,Human_papillomavirus_infection
hsa05166,Human_T-cell_leukemia_virus_1_infection
hsa05167,Kaposi_sarcoma-associated_herpesvirus_infection
hsa05168,Herpes_simplex_virus_1_infection
hsa05169,Epstein-Barr_virus_infection
hsa05170,Human_immunodeficiency_virus_1_infection
hsa05200,Pathways_in_cancer
hsa05202,Transcriptional_misregulation_in_cancer
hsa05203,Viral_carcinogenesis
hsa05204,Chemical_carcinogenesis
hsa05205,Proteoglycans_in_cancer
hsa05206,MicroRNAs_in_cancer
hsa05210,Colorectal_cancer
hsa05211,Renal_cell_carcinoma
hsa05212,Pancreatic_cancer
hsa05213,Endometrial_cancer
hsa05214,Glioma
hsa05215,Prostate_cancer
hsa05216,Thyroid_cancer
hsa05217,Basal_cell_carcinoma
hsa05218,Melanoma
hsa05219,Bladder_cancer
hsa05220,Chronic_myeloid_leukemia
hsa05221,Acute_myeloid_leukemia
hsa05222,Small_cell_lung_cancer
hsa05223,Non-small_cell_lung_cancer
hsa05224,Breast_cancer
hsa05225,Hepatocellular_carcinoma
hsa05226,Gastric_cancer
hsa05230,Central_carbon_metabolism_in_cancer
hsa05231,Choline_metabolism_in_cancer
hsa05235,PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer
hsa05310,Asthma
hsa05320,Autoimmune_thyroid_disease
hsa05321,Inflammatory_bowel_disease
hsa05322,Systemic_lupus_erythematosus
hsa05323,Rheumatoid_arthritis
hsa05330,Allograft_rejection
hsa05332,Graft-versus-host_disease
hsa05340,Primary_immunodeficiency
hsa05410,Hypertrophic_cardiomyopathy
hsa05412,Arrhythmogenic_right_ventricular_cardiomyopathy
hsa05414,Dilated_cardiomyopathy
hsa05416,Viral_myocarditis
hsa05418,Fluid_shear_stress_and_atherosclerosis
